,Month,RISK_BUCKET,CIBIL_BUCKET,RATE_OF_INTEREST,CAR_SELLING_PRICE,DISBURSABLE_LOAN_AMOUNT,USERID
0,2024-04,A,700-750,15.091329479768786,507608.24277456646,480243.9393063584,149
1,2024-04,A,750 +,12.898729296768938,541740.8797176215,529106.0966603312,1552
2,2024-04,A,"NTC (-1,0 & 1-299)",13.083333333333334,382333.3333333333,377550.0,3
3,2024-04,B,600-650,16.51666666666667,407000.0,331276.3333333333,2
4,2024-04,B,650-700,16.600657894736845,480870.8947368421,428762.8289473684,33
5,2024-04,B,700-750,16.31858108108108,520255.71846846846,481191.0288288288,953
6,2024-04,B,750 +,14.879480395888846,544717.7591393755,521163.9784925771,2252
7,2024-04,B,"NTC (-1,0 & 1-299)",15.878125,439124.4296875,403135.40625,59
8,2024-04,C,600-650,17.641666666666666,461314.1666666667,423279.6666666667,4
9,2024-04,C,650-700,17.370652173913044,516440.56086956523,402825.6913043478,143
10,2024-04,C,700-750,17.47697393173878,536973.579145391,456357.94756248326,1882
11,2024-04,C,750 +,16.806190668551807,539052.6786507777,489455.6485558473,2274
12,2024-04,C,<600,17.5,721000.0,692159.0,1
13,2024-04,C,"NTC (-1,0 & 1-299)",17.238385826771655,465124.00393700786,390690.6614173228,133
14,2024-04,D,600-650,19.137222222222224,538834.3888888889,440731.44444444444,11
15,2024-04,D,650-700,19.256411149825784,572184.0557491289,429710.79790940764,194
16,2024-04,D,700-750,18.99589548693587,559329.7396674585,427951.3662707838,1192
17,2024-04,D,750 +,18.78151515151515,547164.3084415584,431168.49134199135,494
18,2024-04,D,<600,19.355555555555554,329571.77777777775,262512.77777777775,5
19,2024-04,D,"NTC (-1,0 & 1-299)",18.630285714285712,516059.3789473684,403210.6721804511,408
20,2024-04,E,600-650,19.91875,659000.0,512295.875,5
21,2024-04,E,650-700,20.130666666666666,603852.0945945946,409925.25333333336,64
22,2024-04,E,700-750,19.975248226950356,505371.5319148936,349931.24822695035,98
23,2024-04,E,<600,20.0,293000.0,249050.0,1
24,2024-04,E,"NTC (-1,0 & 1-299)",19.855615942028983,524457.1050724637,400760.0833333333,179
25,2024-05,A,650-700,16.35363636363636,641272.7272727273,625054.5454545454,6
26,2024-05,A,700-750,15.41366024518389,541432.3607705779,515262.0350262697,249
27,2024-05,A,750 +,13.232118021060998,548056.2974369164,533917.976952116,2167
28,2024-05,A,"NTC (-1,0 & 1-299)",14.1,500333.3333333333,486316.6666666667,3
29,2024-05,B,600-650,17.0,488472.0,268659.0,1
30,2024-05,B,650-700,16.91923076923077,522067.28571428574,454702.53846153844,48
31,2024-05,B,700-750,16.39674841437632,532822.6164904863,487170.4596194503,1078
32,2024-05,B,750 +,14.989677085132103,542185.6152650665,518893.4410291832,2509
33,2024-05,B,<600,16.85,308000.0,200200.0,1
34,2024-05,B,"NTC (-1,0 & 1-299)",15.93084745762712,502594.0084745763,457191.5084745763,56
35,2024-05,C,600-650,18.166,617400.0,559610.0,3
36,2024-05,C,650-700,17.55366935483871,546342.875,428729.9032258064,160
37,2024-05,C,700-750,17.486516768292685,536443.9407124682,458659.5881605691,2025
38,2024-05,C,750 +,16.763739257633937,535813.1283598464,483175.9588590236,2556
39,2024-05,C,<600,17.1,720000.0,667500.0,1
40,2024-05,C,"NTC (-1,0 & 1-299)",17.697,494194.44523809524,415886.96428571426,228
41,2024-05,D,600-650,18.771333333333335,588119.4666666667,478957.86666666664,8
42,2024-05,D,650-700,19.26726235741445,569822.7642585551,426099.1825095057,200
43,2024-05,D,700-750,18.84100407558355,558029.2726935903,426219.19822156354,1604
44,2024-05,D,750 +,18.152899361022364,544158.8338658147,434622.79905750795,678
45,2024-05,D,<600,19.5,514156.0,405596.0,1
46,2024-05,D,"NTC (-1,0 & 1-299)",18.722535211267605,527720.6028169014,404575.1915492958,443
47,2024-05,E,600-650,20.0,398566.6666666667,317785.0,2
48,2024-05,E,650-700,20.178301886792454,547343.9056603773,369166.0,45
49,2024-05,E,700-750,19.945214285714286,620287.8857142857,434470.6857142857,98
50,2024-05,E,750 +,17.41,693000.0,377970.5,2
51,2024-05,E,<600,20.0,839000.0,713150.0,1
52,2024-05,E,"NTC (-1,0 & 1-299)",19.85543859649123,553824.3263157895,412031.43157894735,184
53,2024-06,A,650-700,16.106923076923078,581092.3076923077,518080.0,6
54,2024-06,A,700-750,15.452994555353902,506648.53176043555,485791.9564428312,246
55,2024-06,A,750 +,13.219771608584367,559545.1657806655,547041.4937979918,2208
56,2024-06,A,"NTC (-1,0 & 1-299)",16.266666666666666,477861.1111111111,449115.55555555556,5
57,2024-06,B,600-650,16.8,592000.0,592000.0,1
58,2024-06,B,650-700,17.211228070175437,642772.1228070175,499359.3859649123,33
59,2024-06,B,700-750,16.407492863939108,542590.0442435775,499370.0366317793,942
60,2024-06,B,750 +,14.99967095851216,564118.9155635063,538510.2263948498,2428
61,2024-06,B,"NTC (-1,0 & 1-299)",16.120884353741495,484783.8639455782,441136.80272108846,68
62,2024-06,C,600-650,17.75,528313.75,489707.5,4
63,2024-06,C,650-700,17.698486486486484,534021.681081081,428010.9837837838,107
64,2024-06,C,700-750,17.45085976627713,541691.5061213133,464133.5112966054,1842
65,2024-06,C,750 +,16.733393879565647,562628.6552813426,505868.01472458045,2346
66,2024-06,C,"NTC (-1,0 & 1-299)",17.83529274004684,510050.8899297424,439381.02341920376,231
67,2024-06,D,600-650,19.284285714285716,601084.2857142857,531497.2857142857,7
68,2024-06,D,650-700,19.27547619047619,562727.0238095238,407811.6011904762,121
69,2024-06,D,700-750,18.847702472293264,550057.6858482524,421219.8716965047,1394
70,2024-06,D,750 +,18.0887181738367,562625.5548726954,439306.61369622475,613
71,2024-06,D,<600,19.5,294000.0,264600.0,1
72,2024-06,D,"NTC (-1,0 & 1-299)",18.80365576102418,532209.2603129445,417835.372688478,435
73,2024-06,E,600-650,19.7,420333.3333333333,341766.6666666667,2
74,2024-06,E,650-700,20.09054054054054,668743.6486486486,472370.0,30
75,2024-06,E,700-750,19.814580152671756,621949.7099236641,429248.9923664122,95
76,2024-06,E,750 +,18.33,527086.5,363410.0,3
77,2024-06,E,<600,20.0,283000.0,240550.0,2
78,2024-06,E,"NTC (-1,0 & 1-299)",19.858466898954703,557703.7073170731,426048.2264808362,181
79,2024-07,A,650-700,17.384705882352943,506652.9411764706,449858.4117647059,17
80,2024-07,A,700-750,15.664445628997868,565308.1545842218,536178.4392324093,420
81,2024-07,A,750 +,13.763788200686387,578040.2359862722,563250.2271613008,2660
82,2024-07,A,"NTC (-1,0 & 1-299)",16.279999999999998,465685.4285714286,433736.85714285716,4
83,2024-07,B,600-650,18.13,484633.3333333333,499800.0,3
84,2024-07,B,650-700,17.428941176470587,586748.1882352941,500650.18823529413,43
85,2024-07,B,700-750,16.573464651915813,549214.9373988127,495545.97301672964,878
86,2024-07,B,750 +,15.12818292091218,572163.8703254007,527328.109655507,1852
87,2024-07,B,<600,17.78,896000.0,800000.0,1
88,2024-07,B,"NTC (-1,0 & 1-299)",16.74732394366197,566429.6408450705,478091.7042253521,72
89,2024-07,C,600-650,18.098333333333333,539953.6666666666,493788.8333333333,4
90,2024-07,C,650-700,17.729300699300698,566712.7482517483,434056.2167832168,100
91,2024-07,C,700-750,17.47189268292683,545710.4817826935,461169.2669918699,1635
92,2024-07,C,750 +,16.6597726111395,541511.743484926,484224.4981144609,1882
93,2024-07,C,<600,17.22,1259000.0,1000000.0,1
94,2024-07,C,"NTC (-1,0 & 1-299)",17.837074303405572,535324.814241486,469864.66563467495,350
95,2024-07,D,600-650,18.937096774193545,531712.2258064516,449102.51612903224,18
96,2024-07,D,650-700,19.22768361581921,621890.1412429379,439972.5197740113,133
97,2024-07,D,700-750,18.55275439938791,537418.2735271615,404852.1013771997,1592
98,2024-07,D,750 +,17.579739336492892,546620.7353870458,433751.6579778831,689
99,2024-07,D,<600,19.25,935153.6666666666,497706.3333333333,2
100,2024-07,D,"NTC (-1,0 & 1-299)",18.693225308641978,527827.5972222222,411448.86574074073,390
101,2024-07,E,600-650,20.0,426600.0,383940.0,1
102,2024-07,E,650-700,20.03757575757576,557605.4242424242,349867.51515151514,28
103,2024-07,E,700-750,19.745368421052632,592577.0652173914,401259.1052631579,75
104,2024-07,E,750 +,16.89,830944.0,456585.0,1
105,2024-07,E,"NTC (-1,0 & 1-299)",19.805989304812837,571687.1069518717,466691.6256684492,103
